instance, iteration, num_poses, total_bytes_received, iteration_time_sec, total_time_sec, relative_change 
0,10,500,126315,0.034,0.466,0.501948
0,14,500,162413,0.041,0.64,0.0874409
0,24,500,276107,0.034,1.087,0.0431818
0,26,500,304977,0.038,1.178,0.0057102
0,28,500,319419,0.035,1.266,0.00257142
0,30,500,341075,0.035,1.354,0.0713332
0,32,500,359117,0.045,1.442,0.0262956
0,34,500,380773,0.033,1.518,0.0057646
0,50,500,563049,0.04,2.281,0.0335359
0,52,500,581091,0.032,2.361,0.0161099
0,58,500,649673,0.033,2.637,0.0251357
0,66,500,734497,0.036,2.996,0.0257224
0,68,500,761560,0.039,3.088,0.00490222
0,70,500,785023,0.033,3.174,0.0356937
0,78,500,868033,0.033,3.54,0.0236727
0,80,500,893303,0.041,3.644,0.00902387
0,82,500,914959,0.034,3.731,0.0335004
0,84,500,925787,0.038,3.812,0.0231415
0,86,500,958271,0.038,3.903,0.0173102
0,88,500,983534,0.041,4.007,0.0360154
0,90,500,1006997,0.044,4.104,0.0042637
0,92,500,1028653,0.041,4.199,0.0269705
0,94,500,1050309,0.046,4.298,0.0501926
0,98,500,1093621,0.04,4.491,0.0200074
0,100,500,1115277,0.035,4.608,0.0103793
0,112,500,1256034,0.038,5.161,0.0141626
0,128,500,1423875,0.034,5.877,0.0120666
0,142,500,1573667,0.035,6.504,0.00519874
0,144,500,1602537,0.041,6.599,0.000763445
0,146,500,1622386,0.034,6.686,0.00125286
0,150,500,1671119,0.032,6.915,0.0174115
0,152,500,1690961,0.034,6.992,0.00846174
0,154,500,1716231,0.034,7.079,0.000981604
0,156,500,1736080,0.035,7.166,0.00277111
0,158,500,1759543,0.039,7.259,0.00718023
0,170,500,1889479,0.034,7.8,0.00444567
0,182,500,2024829,0.034,8.367,0.00450603
0,184,500,2039271,0.033,8.443,0.0015074
0,186,500,2068141,0.036,8.542,0.0119295
0,196,500,2189049,0.04,8.995,0.00431365
0,198,500,2199884,0.04,9.077,0.000900066
0,200,500,2225147,0.039,9.209,0.0132698
0,202,500,2246803,0.033,9.296,0.00643935
0,208,500,2311771,0.033,9.561,0.00703572
0,210,500,2333427,0.039,9.652,0.000265613
0,216,500,2398395,0.034,9.929,0.00478618
0,218,500,2425465,0.038,10.031,0.000968218
0,220,500,2447121,0.034,10.127,0.000162815
0,224,500,2490433,0.038,10.318,0.00292208
0,226,500,2519303,0.04,10.411,0.000538901
0,228,500,2533745,0.034,10.498,0.000167686
0,230,500,2555401,0.036,10.597,0.00770931
0,232,500,2577057,0.039,10.679,0.00184999
0,240,500,2669095,0.036,11.039,0.00376442
