instance, iteration, num_poses, total_bytes_received, iteration_time_sec, total_time_sec, relative_change 
0,3,500,68533,0.034,0.166,0.763337
0,7,500,133459,0.032,0.344,0.319561
0,9,500,147887,0.033,0.42,0.0489369
0,11,500,183957,0.036,0.509,0.0876706
0,13,500,198385,0.041,0.593,0.0198911
0,15,500,234455,0.033,0.679,0.0876429
0,17,500,259704,0.032,0.764,0.0752769
0,21,500,328237,0.04,0.947,0.0390948
0,23,500,353486,0.044,1.045,0.00557656
0,25,500,385949,0.041,1.129,0.00434475
0,33,500,501373,0.033,1.476,0.0405791
0,35,500,523015,0.042,1.561,0.00902567
0,49,500,739435,0.064,2.231,0.0320198
0,53,500,789933,0.043,2.406,0.0149048
0,57,500,854859,0.04,2.589,0.014094
0,59,500,880108,0.035,2.678,0.001498
0,61,500,912571,0.035,2.766,0.0200101
0,65,500,973890,0.042,2.951,0.0137119
0,69,500,1035209,0.04,3.134,0.027133
0,71,500,1053244,0.043,3.22,0.00769727
0,77,500,1150633,0.033,3.496,0.0119404
0,81,500,1208345,0.041,3.69,0.0237159
0,95,500,1417551,0.038,4.341,0.00978699
0,97,500,1446407,0.033,4.437,0.00377656
0,101,500,1504119,0.039,4.65,0.0134632
0,111,500,1655613,0.036,5.109,0.0100588
0,113,500,1673648,0.043,5.205,0.00111812
0,119,500,1771037,0.04,5.468,0.013713
0,127,500,1886461,0.039,5.836,0.00561873
0,129,500,1911710,0.04,5.919,0.000825013
0,131,500,1944173,0.044,6.005,0.0152636
0,137,500,2034348,0.042,6.28,0.00296455
0,139,500,2066811,0.035,6.378,0.00087009
0,141,500,2081239,0.04,6.461,0.000136352
0,143,500,2124523,0.036,6.55,0.00445573
0,147,500,2182235,0.038,6.731,0.00301711
0,149,500,2211091,0.08,6.864,0.00276378
0,153,500,2268803,0.039,7.036,0.00207481
0,157,500,2333729,0.041,7.21,0.00212447
0,159,500,2355371,0.039,7.301,0.00182619
0,165,500,2441939,0.034,7.568,0.0019643
0,169,500,2506865,0.04,7.752,0.000851664
0,171,500,2535721,0.043,7.849,0.00220472
0,179,500,2658359,0.047,8.229,0.00658857
0,181,500,2687215,0.036,8.319,0.00078642
0,185,500,2744927,0.039,8.491,0.0040136
0,187,500,2770176,0.041,8.586,0.00228838
0,189,500,2795425,0.041,8.669,0.00176721
0,193,500,2860351,0.033,8.855,0.00157076
0,195,500,2881993,0.038,8.94,0.000489204
0,199,500,2954133,0.081,9.164,0.00266142
0,201,500,2982989,0.032,9.253,8.41236e-05
0,203,500,3011845,0.041,9.337,0.00120579
0,205,500,3040701,0.04,9.431,0.00137292
0,207,500,3069557,0.035,9.519,0.00117534
0,211,500,3127269,0.041,9.707,0.00344084
0,215,500,3184981,0.034,9.884,0.00135581
0,217,500,3217444,0.039,9.977,0.00037773
0,219,500,3253514,0.039,10.079,0.00393148
0,221,500,3278763,0.043,10.175,0.00122461
0,223,500,3307619,0.041,10.269,0.000219019
0,225,500,3336475,0.035,10.357,0.00141949
0,233,500,3444685,0.04,10.721,0.00291667
0,239,500,3524039,0.045,10.988,0.00159016
0,241,500,3570930,0.032,11.073,0.000436689
