pose_index,qx,qy,qz,qw,tx,ty,tz
0,0.567643,-0.0155229,-0.0253537,0.822738,-3.0032,-47.2517,-31.9625
1,0.570349,0.0269979,0.0202365,0.820709,2.98869,-47.4165,-32.0707
2,0.569232,0.0661404,0.0693791,0.81657,9.02531,-46.7032,-32.2264
3,0.563099,0.0884521,0.136363,0.810247,14.6744,-45.295,-32.4327
4,0.558334,0.126685,0.183999,0.798974,20.1819,-43.0536,-32.6027
5,0.546484,0.179344,0.198197,0.793668,25.638,-40.0795,-32.6978
6,0.537271,0.213975,0.254116,0.775229,30.4493,-36.5319,-33.2654
7,0.528188,0.246843,0.301972,0.754254,34.858,-32.5289,-33.644
8,0.517511,0.277291,0.357243,0.726409,38.7619,-27.8966,-34.0318
9,0.504619,0.312672,0.400902,0.697763,41.9381,-22.9541,-34.3189
10,0.484323,0.351812,0.435377,0.672389,44.6525,-17.4231,-34.7752
11,0.465077,0.383785,0.474615,0.641212,46.5096,-11.747,-35.2717
12,0.439256,0.418071,0.510882,0.609319,47.5623,-6.06753,-35.7402
13,0.40899,0.456534,0.53511,0.581344,48.1007,-0.0441232,-36.1083
14,0.389265,0.476603,0.578057,0.535885,47.6453,5.8517,-36.6928
15,0.37023,0.493462,0.615893,0.49,46.6225,11.8527,-37.1307
16,0.33604,0.522721,0.641173,0.450264,44.9275,17.6095,-37.4934
17,0.30359,0.538382,0.669351,0.412246,42.3763,23.0519,-37.823
18,0.26241,0.562726,0.688916,0.373998,39.0965,28.2234,-38.1648
19,0.239762,0.568271,0.721272,0.315198,35.4653,32.7999,-38.5685
20,0.191179,0.593483,0.729244,0.281834,31.0534,36.9934,-38.8275
21,0.175838,0.599602,0.751785,0.210662,26.2463,40.5709,-39.2422
22,0.141167,0.609229,0.763458,0.161379,20.9935,43.4797,-39.1525
23,0.0897478,0.622087,0.768125,0.122214,15.301,45.6832,-39.1591
24,0.0653168,0.626769,0.773855,0.0635807,9.44709,47.1422,-39.3084
25,0.026169,0.627512,0.777961,0.0178879,3.49496,47.8419,-39.1508
26,-0.0217831,0.627556,0.778116,-0.0153186,-2.52516,47.8773,-39.0612
27,-0.0560835,0.629037,0.772166,-0.070192,-8.56318,47.1009,-39.0896
28,-0.0928765,0.619006,0.770763,-0.11887,-14.4811,45.934,-38.9568
29,-0.121083,0.614771,0.758421,-0.179424,-20.0866,43.7787,-39.0219
30,-0.143965,0.604664,0.746963,-0.236014,-25.3095,40.8076,-38.7684
31,-0.19464,0.586416,0.739399,-0.267434,-30.1893,37.3285,-38.4341
32,-0.239764,0.576093,0.716339,-0.312231,-34.8418,33.2473,-38.403
33,-0.254547,0.563091,0.692495,-0.37227,-38.6738,28.6967,-38.2798
34,-0.280495,0.547835,0.664447,-0.423922,-41.8422,23.6706,-37.8144
35,-0.309733,0.525974,0.632555,-0.47675,-44.5096,18.1514,-37.4518
36,-0.351409,0.496836,0.619047,-0.496433,-46.4247,12.3313,-37.0154
37,0.384021,-0.470861,-0.588046,0.533872,-47.5939,6.56581,-36.7354
38,0.406784,-0.444512,-0.55302,0.575417,-48.1746,0.444629,-36.4208
39,0.427348,-0.416988,-0.515212,0.614859,-47.9154,-5.6768,-36.238
40,0.467834,-0.376666,-0.489612,0.632087,-46.8557,-11.6747,-35.9316
41,0.481389,-0.358777,-0.437277,0.669576,-45.0744,-17.5695,-35.8215
42,0.50136,-0.319705,-0.395672,0.699907,-42.5045,-22.9922,-35.5398
43,0.520332,-0.285447,-0.35332,0.723146,-39.1548,-28.1546,-35.2909
44,0.534033,-0.25344,-0.302048,0.747893,-35.4315,-32.8439,-35.1845
45,0.551541,-0.211158,-0.268561,0.760979,-31.0749,-37.1166,-34.9904
46,0.559826,-0.177086,-0.217103,0.779809,-26.1492,-40.6369,-34.8782
47,0.575774,-0.142771,-0.165208,0.787913,-20.7204,-43.6155,-34.8246
48,0.576841,-0.104755,-0.107166,0.802992,-15.1252,-45.9175,-34.7711
49,0.581054,-0.0542086,-0.0768875,0.808409,-9.13853,-47.4924,-34.7201
50,0.589673,-0.0218541,-0.0178138,0.80715,-3.04938,-48.197,-34.8819
51,0.592116,0.0174596,0.0311301,0.805062,2.95242,-48.3146,-35.0182
52,0.592694,0.0514447,0.0897161,0.79876,9.05404,-47.6038,-35.1601
53,0.58892,0.103412,0.114841,0.793279,14.9385,-46.2013,-35.3368
54,0.58626,0.126174,0.190244,0.777294,20.6129,-44.0083,-35.5506
55,0.57387,0.173894,0.215493,0.770712,25.8897,-41.001,-35.6485
56,0.560981,0.214792,0.254857,0.757768,30.8078,-37.4416,-36.0537
57,0.547173,0.259015,0.293225,0.739954,35.3424,-33.22,-36.5151
58,0.538375,0.292638,0.346493,0.710252,39.2801,-28.6259,-36.913
59,0.518248,0.32964,0.387279,0.687584,42.6301,-23.4484,-37.2416
60,0.495647,0.374548,0.411038,0.667155,45.2844,-17.9444,-37.6151
61,0.480561,0.397615,0.455923,0.634899,47.2905,-12.1618,-38.3329
62,0.448795,0.442525,0.486636,0.60493,48.4426,-6.17977,-38.6782
63,0.429557,0.470365,0.52244,0.566829,48.8238,-0.17354,-39.2543
64,0.410171,0.488395,0.566168,0.522192,48.544,5.81352,-39.8747
65,0.381798,0.511153,0.600723,0.481753,47.3722,11.9266,-40.2001
66,0.342879,0.541388,0.622143,0.449745,45.5954,17.6065,-40.5181
67,0.307927,0.565128,0.65015,0.403875,43.0199,23.2793,-40.9146
68,0.279707,0.581132,0.674341,0.359603,39.812,28.4772,-41.2543
69,0.256617,0.59616,0.699184,0.299803,36.0011,33.1639,-41.7023
70,0.214475,0.611973,0.715556,0.25975,31.4864,37.4196,-41.8918
71,0.188115,0.620866,0.735148,0.196711,26.5618,41.1034,-42.1068
72,0.1336,0.632672,0.743823,0.169131,21.1631,43.9798,-42.1338
73,0.0902515,0.643907,0.748399,0.130909,15.514,46.2694,-42.2092
74,0.0605279,0.65404,0.750437,0.073575,9.64735,47.7554,-42.3884
75,0.0310482,0.653823,0.755911,0.0122069,3.56437,48.4951,-42.1855
76,-0.0188182,0.652929,0.756757,-0.0254511,-2.48099,48.4195,-42.1647
77,-0.0533915,0.649406,0.755172,-0.0716725,-8.66169,47.8069,-42.1389
78,-0.0980014,0.64454,0.749044,-0.117887,-14.6574,46.3515,-42.0355
79,-0.13789,0.635806,0.741434,-0.164352,-20.4529,44.2665,-41.896
80,-0.164104,0.626431,0.727888,-0.225463,-25.7112,41.3396,-41.7601
81,-0.205291,0.609501,0.718623,-0.264473,-30.6454,37.8118,-41.5033
82,-0.24909,0.592803,0.703564,-0.302551,-35.2147,33.5719,-41.4759
83,-0.2695,0.578701,0.675768,-0.368529,-39.2326,28.8305,-41.2056
84,-0.300829,0.564714,0.65264,-0.405784,-42.486,23.6552,-40.7805
85,-0.331657,0.540555,0.624726,-0.455546,-45.2587,18.1668,-40.3785
86,-0.368157,0.517221,0.599577,-0.487288,-47.2015,12.3471,-39.923
87,0.38941,-0.491216,-0.570709,0.530432,-48.4028,6.47063,-39.6368
88,0.430549,-0.461934,-0.543762,0.552781,-48.9555,0.318787,-39.2551
89,0.453718,-0.432378,-0.505385,0.593107,-48.5754,-5.86459,-39.2367
90,0.487841,-0.392499,-0.478605,0.615543,-47.4993,-11.9721,-38.9471
91,0.508348,-0.362503,-0.433616,0.649732,-45.7012,-17.9391,-38.8461
92,0.532683,-0.32978,-0.391656,0.673869,-43.1587,-23.6434,-38.4879
93,0.544905,-0.299167,-0.344283,0.703596,-39.8925,-28.7597,-38.3214
94,0.563995,-0.257086,-0.299029,0.725533,-35.9872,-33.4663,-38.0971
95,0.574544,-0.227665,-0.251212,0.744956,-31.4752,-37.7732,-37.9839
96,0.589506,-0.186245,-0.203688,0.759149,-26.56,-41.392,-37.7708
97,0.596764,-0.146469,-0.154978,0.773564,-21.0199,-44.4026,-37.8082
98,0.601977,-0.105295,-0.113575,0.78335,-15.2868,-46.7346,-37.7336
99,0.607646,-0.0625505,-0.0679051,0.788824,-9.36713,-48.2973,-37.677
100,0.613649,-0.0160892,-0.0268382,0.788958,-3.07452,-49.0944,-37.7008
101,0.619004,0.0260566,0.0188864,0.784728,3.15352,-49.2062,-37.8431
102,0.613465,0.0558778,0.0788435,0.783787,9.22456,-48.441,-38.063
103,0.611087,0.0996316,0.117918,0.776364,15.1453,-46.8771,-38.2914
104,0.605255,0.142135,0.172824,0.763934,20.9327,-44.6824,-38.3772
105,0.59498,0.187893,0.214315,0.751508,26.2822,-41.6993,-38.5851
106,0.583681,0.227281,0.248915,0.738716,31.2315,-37.953,-38.9245
107,0.568723,0.272923,0.28191,0.722907,35.8093,-33.7754,-39.2715
108,0.553286,0.31992,0.311884,0.703032,39.8982,-29.054,-39.68
109,0.536333,0.344125,0.370649,0.675681,43.1654,-23.9717,-40.2502
110,0.510807,0.384049,0.406804,0.652758,45.7328,-18.327,-40.7683
111,0.493453,0.425928,0.431361,0.623712,47.824,-12.4535,-41.2685
112,0.472693,0.454917,0.47891,0.583315,49.0106,-6.55285,-41.8486
113,0.456881,0.47519,0.523998,0.539334,49.3469,-0.436924,-42.5132
114,0.42658,0.50639,0.548485,0.510649,49.1126,5.75949,-42.7987
115,0.394294,0.534672,0.579613,0.471918,47.8985,11.9027,-43.2964
116,0.348107,0.56258,0.605666,0.442146,46.0051,17.6888,-43.6003
117,0.320011,0.585098,0.6283,0.400615,43.4972,23.296,-43.9924
118,0.288887,0.602734,0.655517,0.351502,40.3013,28.5206,-44.4316
119,0.259937,0.617958,0.678367,0.300632,36.2546,33.4124,-44.8212
120,0.223094,0.637481,0.693509,0.250783,31.7263,37.6775,-45.0054
121,0.201137,0.63895,0.717981,0.189184,26.9062,41.3216,-45.2797
122,0.153675,0.64796,0.730893,0.149419,21.5029,44.2028,-45.2026
123,0.105941,0.663777,0.732667,0.106654,15.7409,46.5166,-45.2709
124,0.0609172,0.678122,0.729153,0.0691085,9.79351,48.0699,-45.4241
125,0.02456,0.676471,0.735937,0.0134216,3.66509,48.8894,-45.3866
126,-0.0192489,0.675264,0.73673,-0.0296084,-2.63862,48.8321,-45.2283
127,-0.0503478,0.672183,0.733955,-0.0833397,-8.87389,48.1638,-45.1499
128,-0.0986781,0.663356,0.73086,-0.126748,-14.804,46.6506,-45.0483
129,-0.134301,0.661078,0.718349,-0.170042,-20.5569,44.5349,-44.9541
130,-0.180203,0.646733,0.709976,-0.212595,-25.9541,41.552,-44.7573
131,-0.219099,0.633405,0.696633,-0.255922,-30.9897,37.9549,-44.5132
132,-0.243709,0.623767,0.678012,-0.30302,-35.5888,33.7402,-44.4676
133,-0.278193,0.600025,0.659835,-0.356647,-39.6647,29.1101,-44.0884
134,-0.318453,0.578653,0.639959,-0.392684,-43.0393,23.7112,-43.7413
135,-0.344183,0.558696,0.609673,-0.44463,-45.8726,18.0765,-43.5454
136,-0.386538,0.529386,0.592082,-0.468804,-47.8682,12.2279,-42.9873
137,0.414233,-0.508726,-0.56046,0.505463,-49.0394,6.11412,-42.8135
138,0.445258,-0.477099,-0.524903,0.546441,-49.518,0.0383382,-42.3756
139,0.478361,-0.441446,-0.499106,0.572005,-49.1627,-6.19859,-42.2123
140,0.503075,-0.406477,-0.467038,0.602965,-48.0681,-12.2815,-41.9605
141,0.522621,-0.382797,-0.416165,0.638076,-46.1498,-18.2199,-41.7214
142,0.554074,-0.338484,-0.383578,0.656733,-43.6096,-23.923,-41.4212
143,0.560873,-0.311769,-0.329641,0.692501,-40.3361,-29.2587,-41.2701
144,0.584133,-0.263525,-0.301105,0.706172,-36.2424,-34.0166,-41.006
145,0.597374,-0.220259,-0.256556,0.727192,-31.8171,-38.4178,-40.811
146,0.607119,-0.182828,-0.207879,0.744827,-26.7157,-42.0574,-40.7991
147,0.618311,-0.144725,-0.161236,0.755479,-21.1746,-45.1494,-40.7132
148,0.625985,-0.106086,-0.113065,0.764267,-15.3879,-47.3791,-40.6726
149,0.631479,-0.0632416,-0.0652714,0.770048,-9.42601,-48.9128,-40.6802
150,0.639865,-0.0204459,-0.0216618,0.76791,-3.31975,-49.6888,-40.7341
