pose_index,qx,qy,qz,qw,tx,ty,tz
0,0.571853,-0.0228071,-0.0224387,0.819732,-2.75555,-47.2613,-32.5433
1,0.570793,0.0186498,0.0289557,0.820372,3.18953,-47.4338,-32.6133
2,0.569082,0.0627037,0.0765154,0.816308,9.26512,-46.7253,-32.6709
3,0.558445,0.0890053,0.138563,0.81303,14.9635,-45.2547,-32.8447
4,0.550119,0.138747,0.174924,0.804686,20.4992,-42.965,-32.9628
5,0.541685,0.18838,0.193238,0.796084,25.9434,-39.9999,-33.1661
6,0.538034,0.207741,0.266424,0.772257,30.7858,-36.4736,-33.9077
7,0.531718,0.244482,0.315169,0.74711,35.232,-32.5113,-34.282
8,0.522304,0.27567,0.366059,0.71917,39.1117,-27.8336,-34.6925
9,0.513829,0.307685,0.408306,0.688909,42.35,-22.8501,-35.0756
10,0.494922,0.34487,0.445262,0.66171,45.1011,-17.3747,-35.5378
11,0.478095,0.378329,0.487187,0.625253,46.9913,-11.7495,-35.9935
12,0.449791,0.418116,0.516553,0.596691,48.1104,-5.92777,-36.4135
13,0.417813,0.459077,0.537505,0.570762,48.6272,0.291058,-36.8697
14,0.402521,0.48106,0.575418,0.524836,48.155,6.2464,-37.4999
15,0.382302,0.50203,0.610294,0.478908,47.1981,12.3082,-37.9195
16,0.350353,0.52998,0.633826,0.441179,45.4669,18.0501,-38.3115
17,0.314526,0.546479,0.6615,0.40602,42.9561,23.4681,-38.7213
18,0.277898,0.570796,0.682129,0.362857,39.6692,28.6349,-39.1269
19,0.252832,0.575059,0.715309,0.306131,36.0194,33.1853,-39.5989
20,0.198637,0.599982,0.722565,0.280117,31.5877,37.3263,-39.7887
21,0.188773,0.601243,0.749619,0.202344,26.8514,40.9346,-40.2352
22,0.14566,0.614171,0.759079,0.159299,21.5216,43.9681,-39.9443
23,0.0867502,0.627041,0.763365,0.128713,15.7922,46.1721,-39.9032
24,0.059898,0.630068,0.770957,0.0710813,9.91499,47.6855,-40.0987
25,0.0237254,0.629078,0.776653,0.0225549,3.92944,48.3375,-39.9977
26,-0.0191848,0.627694,0.778027,-0.0174821,-2.13836,48.3507,-39.9053
27,-0.0548532,0.631834,0.769839,-0.0715878,-8.25385,47.6137,-39.8873
28,-0.0984236,0.621512,0.768749,-0.114284,-14.2569,46.4585,-39.7168
29,-0.127182,0.617156,0.757635,-0.170096,-19.8357,44.3028,-39.809
30,-0.151057,0.60852,0.745571,-0.225852,-25.0387,41.3411,-39.5326
31,-0.194448,0.593423,0.734421,-0.265829,-29.8975,37.846,-39.2041
32,-0.239465,0.580641,0.713459,-0.310628,-34.5201,33.7605,-39.1788
33,-0.251927,0.566769,0.690119,-0.372883,-38.2563,29.2312,-39.1611
34,-0.286514,0.550202,0.668236,-0.410668,-41.4188,24.2186,-38.6452
