pose_index,qx,qy,qz,qw,tx,ty,tz
0,0.296227,-0.00694536,-0.0486162,0.953854,-1.66585,-28.4899,-8.52837
1,0.293134,0.0137699,0.0219493,0.95572,2.11634,-28.742,-8.48549
2,0.288557,0.0295219,0.0991754,0.951855,5.85723,-28.4191,-8.59771
3,0.29351,0.0501385,0.158644,0.941366,9.73502,-27.4328,-8.66946
4,0.290433,0.0729696,0.211408,0.930393,13.3127,-26.0143,-8.78857
5,0.289101,0.0961213,0.263437,0.915304,16.7364,-24.139,-9.07391
6,0.279598,0.112633,0.321075,0.897803,19.8079,-21.9545,-9.34909
7,0.275237,0.137673,0.375194,0.874368,22.6664,-19.3015,-9.54966
8,0.267517,0.160724,0.423811,0.850286,25.2325,-16.2516,-9.58422
9,0.257709,0.181492,0.47892,0.819318,27.3936,-13.1514,-9.7582
10,0.24711,0.197495,0.536788,0.782171,29.0796,-9.77938,-10.0807
11,0.235991,0.218579,0.570243,0.75588,30.3419,-6.04483,-10.3542
12,0.228751,0.231977,0.623255,0.710924,31.1859,-2.27195,-10.762
13,0.211114,0.255646,0.662976,0.671222,31.4752,1.50964,-11.063
14,0.191233,0.273627,0.703929,0.62693,31.2211,5.26714,-11.4278
15,0.190806,0.280753,0.741655,0.578549,30.7406,9.12869,-11.7994
16,0.179281,0.292214,0.778221,0.526158,29.69,12.8467,-12.0791
17,0.164022,0.302251,0.811004,0.473302,28.0841,16.4701,-12.3179
18,0.145484,0.321671,0.830875,0.430126,25.9373,19.8008,-12.5677
19,0.128516,0.333747,0.859819,0.364428,23.5309,22.9644,-12.7538
20,0.107673,0.344212,0.876675,0.31838,20.7397,25.7914,-12.7861
21,0.100518,0.349501,0.896009,0.254779,17.5772,28.0513,-12.9538
22,0.0828482,0.354824,0.913501,0.180973,14.1463,30.0658,-13.0459
23,0.0500619,0.360061,0.918517,0.155489,10.4085,31.5535,-13.2112
24,0.0362608,0.360723,0.929014,0.0741419,6.56125,32.6234,-13.2397
25,0.0200654,0.363324,0.931364,0.0124456,2.5724,33.1747,-13.193
26,-0.00352168,0.369101,0.928648,-0.0369492,-1.36796,33.2227,-13.1009
27,-0.0245751,0.365395,0.924952,-0.101713,-5.25836,32.7339,-13.088
28,-0.044224,0.368239,0.917095,-0.146218,-9.17189,31.711,-13.0022
29,-0.0592166,0.358762,0.906448,-0.214792,-12.9273,30.3791,-12.8824
30,-0.0845091,0.351675,0.895012,-0.261031,-16.502,28.3755,-12.7621
31,-0.103263,0.34376,0.877859,-0.317065,-19.8839,26.1352,-12.6343
32,-0.119879,0.333815,0.855427,-0.377415,-22.9188,23.4232,-12.5282
33,-0.133868,0.327212,0.829511,-0.432347,-25.4136,20.238,-12.3374
34,-0.154213,0.317388,0.799024,-0.486872,-27.6011,16.8685,-12.1084
35,0.174684,-0.303059,-0.776559,0.52402,-29.2046,13.2618,-11.818
36,0.184437,-0.29034,-0.731503,0.588718,-30.503,9.46898,-11.6552
37,0.203619,-0.272266,-0.703169,0.624471,-31.2385,5.7164,-11.3084
38,0.217796,-0.25605,-0.664662,0.667254,-31.5158,1.61963,-11.2166
39,0.238408,-0.235222,-0.633327,0.69766,-31.5427,-2.39377,-11.1661
40,0.245687,-0.220302,-0.574834,0.748779,-31.0041,-6.36774,-11.0236
41,0.262702,-0.203273,-0.530217,0.780088,-29.7212,-10.1714,-10.8397
42,0.271158,-0.180492,-0.477814,0.815837,-28.091,-13.8484,-10.574
43,0.286002,-0.163854,-0.422654,0.844227,-25.9891,-17.2949,-10.6499
44,0.292008,-0.148099,-0.358904,0.874063,-23.4938,-20.5345,-10.5734
45,0.300763,-0.126115,-0.308904,0.893429,-20.5599,-23.3549,-10.4771
46,0.305296,-0.106128,-0.255079,0.911299,-17.3953,-25.8411,-10.3604
47,0.314619,-0.0787469,-0.209214,0.92252,-13.7776,-27.7984,-10.2148
48,0.314686,-0.0613863,-0.132578,0.937885,-9.92692,-29.4386,-10.4707
49,0.3171,-0.0372128,-0.073652,0.944795,-5.96301,-30.4777,-10.2304
50,0.325369,-0.0089261,-0.0393092,0.944728,-1.92489,-31.0722,-10.1674
51,0.321632,0.0160948,0.0248917,0.946401,2.26954,-31.2151,-10.3058
52,0.320301,0.0406487,0.0801657,0.943042,6.34559,-30.7753,-10.3834
53,0.321294,0.0621245,0.155826,0.932003,10.4628,-29.8131,-10.3934
54,0.319084,0.0834476,0.206922,0.921089,14.2764,-28.2946,-10.571
55,0.313444,0.113225,0.25543,0.907573,17.9968,-26.2314,-10.9164
56,0.306929,0.127111,0.317023,0.888332,21.435,-23.996,-11.1875
57,0.301499,0.149116,0.367148,0.867217,24.4536,-21.1202,-11.362
58,0.291568,0.178153,0.400899,0.850017,27.0957,-17.7677,-11.4832
