pose_index,qx,qy,qz,qw,tx,ty,tz
0,0.294923,-0.0124483,-0.0470007,0.954283,-1.40458,-28.252,-8.70592
1,0.289753,0.00836777,0.0392237,0.956261,2.30792,-28.5456,-8.6045
2,0.285319,0.0246548,0.125036,0.949922,5.99643,-28.242,-8.66289
3,0.289341,0.0441824,0.193431,0.936437,9.72068,-27.1971,-8.72072
4,0.285713,0.0669422,0.246125,0.923747,13.1978,-25.6891,-8.72443
5,0.283894,0.0892728,0.293481,0.908462,16.5797,-23.751,-8.97826
6,0.274831,0.104036,0.353269,0.888169,19.6607,-21.5505,-9.16168
7,0.270118,0.133651,0.403523,0.863911,22.5465,-18.8857,-9.25141
8,0.262692,0.163862,0.439942,0.842967,25.1285,-15.725,-9.20375
9,0.253919,0.186187,0.49179,0.811789,27.3568,-12.5328,-9.36015
10,0.244058,0.203187,0.551492,0.771367,29.1438,-9.14136,-9.68115
11,0.232944,0.226024,0.579437,0.747598,30.4424,-5.28956,-9.97624
12,0.223916,0.239226,0.625059,0.708473,31.3007,-1.50824,-10.4488
13,0.209581,0.266808,0.657754,0.672494,31.6805,2.36154,-10.7824
14,0.192415,0.283333,0.698055,0.628823,31.4435,6.08003,-11.18
15,0.190799,0.289931,0.733637,0.584219,31.0249,9.85844,-11.5607
16,0.181443,0.296557,0.775609,0.526843,30.0385,13.4979,-11.7988
17,0.166596,0.305595,0.810738,0.470702,28.5221,17.0326,-12.0343
18,0.147342,0.327888,0.827675,0.430969,26.3489,20.3695,-12.2833
19,0.128258,0.344548,0.852507,0.371575,23.9848,23.4779,-12.5012
20,0.109452,0.355258,0.870242,0.323251,21.2049,26.2443,-12.6079
21,0.102076,0.356881,0.891406,0.260022,18.1747,28.4349,-12.7824
22,0.0861057,0.357283,0.912177,0.181296,14.8609,30.3614,-12.839
23,0.0572733,0.359129,0.919432,0.149636,11.1805,31.7798,-12.9993
24,0.0464099,0.354768,0.931013,0.0721074,7.45362,32.756,-12.963
25,0.0273907,0.358394,0.933086,0.0124048,3.49101,33.2241,-12.8379
26,0.00759213,0.362544,0.931103,-0.0393854,-0.433799,33.2102,-12.679
27,-0.0105807,0.35685,0.92694,-0.115451,-4.3101,32.6423,-12.5806
28,-0.0328339,0.357777,0.920579,-0.153139,-8.18558,31.4875,-12.4972
