instance, iteration, num_poses, total_bytes_received, iteration_time_sec, total_time_sec, relative_change 
0,2,500,39719,0.003,0.119,0
0,4,500,68589,0.035,0.206,0.740445
0,6,500,90245,0.035,0.294,0.250532
0,8,500,111901,0.032,0.379,0.203994
0,12,500,155213,0.035,0.547,0.126239
0,16,500,209353,0.033,0.724,0.0534054
0,18,500,218374,0.042,0.809,0.00794956
0,20,500,241837,0.033,0.894,0.00896978
0,22,500,265300,0.034,0.991,0.0529358
0,36,500,420499,0.035,1.598,0.0399072
0,38,500,442155,0.039,1.691,0.00903093
0,40,500,463811,0.034,1.788,0.0608467
0,42,500,485467,0.04,1.891,0.0402712
0,44,500,510730,0.034,1.977,0.00260517
0,46,500,530579,0.031,2.052,0.0732442
0,48,500,555849,0.041,2.157,0.0589023
0,54,500,620817,0.038,2.449,0.0191371
0,56,500,642473,0.042,2.544,0.00182269
0,60,500,685785,0.034,2.721,0.0220973
0,62,500,714655,0.039,2.813,0.00290964
0,64,500,729097,0.034,2.896,0.000772976
0,72,500,821135,0.038,3.266,0.0247439
0,74,500,842791,0.039,3.37,0.00224457
0,76,500,864447,0.033,3.457,0.0200604
0,96,500,1086421,0.039,4.39,0.0232608
0,102,500,1147782,0.044,4.697,0.00629976
0,104,500,1173045,0.04,4.796,0.00421114
0,106,500,1201915,0.035,4.884,0.00537597
0,108,500,1219964,0.032,4.98,0.00464081
0,110,500,1239813,0.033,5.065,0.0017407
0,114,500,1286739,0.036,5.244,0.00779489
0,116,500,1301181,0.042,5.329,0.00142509
0,118,500,1330051,0.033,5.415,0.00687867
0,120,500,1351707,0.033,5.51,0.00407927
0,122,500,1362535,0.038,5.59,0.0057071
0,124,500,1395019,0.039,5.692,0.006788
0,126,500,1413068,0.034,5.779,0.00329861
0,130,500,1452773,0.035,5.957,0.00445031
0,132,500,1483450,0.04,6.05,0.0013929
0,134,500,1499692,0.043,6.136,0.00131215
0,136,500,1526762,0.036,6.225,0.00947657
0,138,500,1552025,0.047,6.335,0.00134767
0,140,500,1573681,0.032,6.414,0.00325762
0,148,500,1660305,0.035,6.771,0.00237022
0,160,500,1795655,0.033,7.337,0.00194631
0,162,500,1810097,0.047,7.432,0.000159319
0,164,500,1838967,0.033,7.529,0.00667696
0,166,500,1849795,0.039,7.613,0.000531615
0,168,500,1882279,0.034,7.7,0.00205069
0,172,500,1925591,0.034,7.888,0.00857377
0,174,500,1950854,0.041,7.995,0.00238482
0,176,500,1974317,0.034,8.082,0.00346486
0,178,500,1992359,0.036,8.17,0.0101052
0,180,500,2017629,0.043,8.276,0.00184052
0,188,500,2104253,0.032,8.622,0.00159648
0,190,500,2133123,0.041,8.718,0.000332261
0,192,500,2147565,0.038,8.808,0.000227885
0,194,500,2162007,0.034,8.892,0.00523203
0,204,500,2282915,0.036,9.38,0.00146747
0,206,500,2304571,0.038,9.472,0.000238087
0,212,500,2369539,0.033,9.748,0.00126651
0,214,500,2389388,0.039,9.84,0.000345502
0,222,500,2483233,0.033,10.216,0.00540422
0,234,500,2605955,0.041,10.767,0.00328126
0,236,500,2634825,0.041,10.851,0.000505991
0,238,500,2656481,0.035,10.939,0.00870664
0,242,500,2703400,0.039,11.121,0.00862969
0,244,500,2726863,0.033,11.207,0.00120825
0,246,500,2748519,0.035,11.298,0.00385329
